,Unnamed: 0,statute,description,subject_no,trr_report_id
0,0,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19294233.0,96449
1,1,720 ILCS 5.0/18-1-B-1,ROBBERY - AGG ROBBERY/INDICATE ARM W/FIR ,19294233.0,96449
2,2,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19294233.0,96449
3,3,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19294233.0,96450
4,4,720 ILCS 5.0/18-1-B-1,ROBBERY - AGG ROBBERY/INDICATE ARM W/FIR ,19294233.0,96450
5,5,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19294233.0,96450
6,6,10-8-515,SOLICITING UNLAWFUL BUSINESS,19294564.0,96453
7,7,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19294564.0,96453
8,8,720 ILCS 5.0/31-4.5-A,OBSTRUCTING IDENTIFICATION,19294564.0,96453
9,9,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19294564.0,96453
10,10,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19294564.0,96453
11,11,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19294608.0,96454
12,12,720 ILCS 550.0/4-C,CANNABIS - POSSESS 10-30 GRMS,19294608.0,96454
13,13,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19294608.0,96454
14,14,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19294827.0,96462
15,15,720 ILCS 5.0/24-1-A-4,UUW - CARRY/POSSESS FIREARM/1ST,19294827.0,96462
16,16,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19294827.0,96462
17,17,625 ILCS 5.0/12-603.1,DRIVER/SEATBELT/CHILD 6<16,19295112.0,96465
18,18,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19295112.0,96465
19,19,625 ILCS 5.0/6-303-A,DRIVING ON REVOKED LICENSE,19295112.0,96465
20,20,720 ILCS 5.0/21-5-A,CRIM TRESPASS TO STATE LAND   ,19295112.0,96465
21,21,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295112.0,96465
22,22,625 ILCS 5.0/12-603.1,DRIVER/SEATBELT/CHILD 6<16,19295112.0,96466
23,23,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19295112.0,96466
24,24,625 ILCS 5.0/6-303-A,DRIVING ON REVOKED LICENSE,19295112.0,96466
25,25,720 ILCS 5.0/21-5-A,CRIM TRESPASS TO STATE LAND   ,19295112.0,96466
26,26,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295112.0,96466
27,27,625 ILCS 5.0/12-603.1,DRIVER/SEATBELT/CHILD 6<16,19295112.0,96467
28,28,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19295112.0,96467
29,29,625 ILCS 5.0/6-303-A,DRIVING ON REVOKED LICENSE,19295112.0,96467
30,30,720 ILCS 5.0/21-5-A,CRIM TRESPASS TO STATE LAND   ,19295112.0,96467
31,31,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295112.0,96467
32,32,720 ILCS 5.0/24-1.7-A,ARMED HABITUAL CRIMINAL,19295302.0,96470
33,33,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295302.0,96470
34,34,720 ILCS 570.0/402-A-2-A,PCS - POSSESS 15<100 GRAMS COCAINE,19295302.0,96470
35,35,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19295302.0,96470
36,36,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295355.0,96471
37,37,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19295355.0,96471
38,38,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295355.0,96472
39,39,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19295355.0,96472
40,40,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19295397.0,96473
41,41,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19295397.0,96474
42,42,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19295423.0,96475
43,43,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295423.0,96475
44,44,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19295397.0,96476
45,45,520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,19295319.0,96477
46,46,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19295319.0,96477
47,47,720 ILCS 5.0/24-1.8-A-1,UNLAW POSS OF FIREARM BY STREET GANG MEMBER ON PERSON,19295319.0,96477
48,48,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19295319.0,96477
49,49,520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,19295319.0,96478
50,50,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19295319.0,96478
51,51,720 ILCS 5.0/24-1.8-A-1,UNLAW POSS OF FIREARM BY STREET GANG MEMBER ON PERSON,19295319.0,96478
52,52,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19295319.0,96478
53,53,520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,19295330.0,96479
54,54,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19295330.0,96479
55,55,720 ILCS 5.0/24-1.8-A-1,UNLAW POSS OF FIREARM BY STREET GANG MEMBER ON PERSON,19295330.0,96479
56,56,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19295330.0,96479
57,57,520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,19295330.0,96480
58,58,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19295330.0,96480
59,59,720 ILCS 5.0/24-1.8-A-1,UNLAW POSS OF FIREARM BY STREET GANG MEMBER ON PERSON,19295330.0,96480
60,60,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19295330.0,96480
61,61,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,0.0,96482
62,62,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,0.0,96482
63,63,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19295524.0,96483
64,64,720 ILCS 5.0/19-4-A-1,CRIM TRESPASS TO RESIDENCE,19295524.0,96483
65,65,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19295524.0,96483
