#,weapon_type,weapon_type_description,firearm_make,firearm_model,firearm_barrel_length,firearm_caliber,total_number_of_shots,firearm_reloaded,number_of_cartridge_reloaded,handgun_worn_type,handgun_drawn_type,method_used_to_reload,sight_used,protective_cover_used,discharge_distance,object_struck_of_discharge,discharge_position,trr_report_id
1,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96453
2,TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,96465
3,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96475
4,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96483
5,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96525
6,CHEMICAL WEAPON,,,,,,,,,,,,,,,,,96558
7,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96565
8,TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,96576
9,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96576
10,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96591
11,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96596
12,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96608
13,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96618
14,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96634
15,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96644
16,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96656
17,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96673
18,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96687
19,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96692
20,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96722
21,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96727
22,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96729
23,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96740
24,CHEMICAL WEAPON,,,,,,,,,,,,,,,,,96759
25,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96759
26,CHEMICAL WEAPON,,,,,,,,,,,,,,,,,96760
27,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96772
28,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96773
29,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96785
30,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96794
31,CHEMICAL WEAPON,,,,,,,,,,,,,,,,,96806
32,OTHER (SPECIFY),,,,,,,,,,,,,,,,,96806
33,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96830
34,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96846
35,SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4, 9 MM,3,No,3,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,10-15FT,PERSON,STANDING,96849
36,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96857
37,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96861
38,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96881
39,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96882
40,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96889
41,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96894
42,SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,21,4.6,45 CAL,5,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,DNA,true,WOODEN FENCE,05-10FT,PERSON,OTHER (SPECIFY),96895
43,SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,30,4,45 CAL,1,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,DISTANCE,0-5FT,UNKNOWN,STANDING,96919
44,CHEMICAL WEAPON,,,,,,,,,,,,,,,,,96934
45,CHEMICAL WEAPON,,,,,,,,,,,,,,,,,96935
46,CHEMICAL WEAPON,,,,,,,,,,,,,,,,,96936
47,RIFLE,"SMITH & WESSON  -US- (BODYGUARD,CHIEF SPECIAL)",,M&P 4,16,223/5.56,4,No,,RIGHT SIDE (WAIST),OTHER (SPECIFY),,true,NOT COVERED,OVER 15FT,UNKNOWN,STANDING,96944
48,RIFLE,GWINN FIREARMS  --US--  (BUSHMASTER),,XM15,14.5,223/5.56,10,No,,RIGHT SIDE (WAIST),OTHER (SPECIFY),,true,NOT COVERED,OVER 15FT,UNKNOWN,STANDING,96948
49,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96954
50,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,96955
