#,weapon_type,firearm_caliber,weapon_description,trr_report_id
1,HANDS/FISTS,,,96454
2,FEET,,,96477
3,HANDS/FISTS,,,96477
4,OTHER (SPECIFY),,SHOVED,96477
5,VERBAL THREAT (ASSAULT),,,96477
6,HANDS/FISTS,,,96478
7,FEET,,,96479
8,HANDS/FISTS,,,96479
9,VERBAL THREAT (ASSAULT),,,96479
10,HANDS/FISTS,,,96480
11,FEET,,,96489
12,HANDS/FISTS,,,96492
13,FEET,,,96496
14,HANDS/FISTS,,,96496
15,"MOUTH (SPIT,BITE,ETC)",,,96498
16,"MOUTH (SPIT,BITE,ETC)",,,96499
17,OTHER (SPECIFY),,OBTAINED TASER,96500
18,OTHER (SPECIFY),,TASER,96500
19,OTHER (SPECIFY),,TASER,96501
20,OTHER (SPECIFY),,TAZER,96502
21,VERBAL THREAT (ASSAULT),,,96502
22,HANDS/FISTS,,,96504
23,FIREARM - SEMI-AUTOMATIC, 9 MM,,96506
24,OTHER (SPECIFY),,HEAD BUTT,96509
25,"MOUTH (SPIT,BITE,ETC)",,,96510
26,OTHER (SPECIFY),,HEAD BUTT,96510
27,VERBAL THREAT (ASSAULT),,,96510
28,HANDS/FISTS,,,96512
29,VERBAL THREAT (ASSAULT),,,96512
30,HANDS/FISTS,,,96514
31,VERBAL THREAT (ASSAULT),,,96514
32,FEET,,,96522
33,"MOUTH (SPIT,BITE,ETC)",,,96522
34,HANDS/FISTS,,,96523
35,OTHER (SPECIFY),,MADE AN AGRESSIVE ADVANCE AT PO,96524
36,VERBAL THREAT (ASSAULT),,,96524
37,KNIFE/OTHER CUTTING INSTRUMENT,,FORK,96530
38,FEET,,,96531
39,HANDS/FISTS,,,96531
40,FEET,,,96532
41,HANDS/FISTS,,,96532
42,OTHER (SPECIFY),,FORK,96532
43,OTHER (SPECIFY),,METAL 3 PRONG FORK,96533
44,FIREARM - SEMI-AUTOMATIC, 9 MM,,96537
45,"MOUTH (SPIT,BITE,ETC)",,,96540
46,FIREARM - REVOLVER,357 MAG,1 BLUE STEEL 4 INCH BARREL RUGER SECURITY SIX .357 MAGNUM,96546
47,HANDS/FISTS,,,96548
48,VERBAL THREAT (ASSAULT),,,96548
49,"MOUTH (SPIT,BITE,ETC)",,,96549
50,FEET,,,96558
51,HANDS/FISTS,,,96558
52,"MOUTH (SPIT,BITE,ETC)",,,96558
53,VERBAL THREAT (ASSAULT),,,96558
54,FEET,,,96561
55,HANDS/FISTS,,,96561
56,"MOUTH (SPIT,BITE,ETC)",,,96561
57,VERBAL THREAT (ASSAULT),,,96561
58,HANDS/FISTS,,,96564
59,VERBAL THREAT (ASSAULT),,,96573
60,HANDS/FISTS,,,96574
61,VERBAL THREAT (ASSAULT),,,96574
62,FEET,,,96576
63,HANDS/FISTS,,,96576
64,FEET,,,96577
65,HANDS/FISTS,,,96577
66,OTHER (SPECIFY),,RAISED GLASS BOTTLE,96578
67,OTHER (SPECIFY),,GLASS BOTTLE AND TABLET,96579
68,HANDS/FISTS,,,96580
